name,birthday,nationality
Tom Hanks,1956-07-09,USA
Meryl Streep,1949-06-22,USA
Leonardo DiCaprio,1974-11-11,USA
Scarlett Johansson,1984-11-22,USA
Robert De Niro,1943-08-17,USA
Morgan Freeman,1937-06-01,USA
Johnny Depp,1963-06-09,USA
Emma Stone,1988-11-06,USA
Brad Pitt,1963-12-18,USA
Anne Hathaway,1982-11-12,USA
Denzel Washington,1954-12-28,USA
Angelina Jolie,1975-06-04,USA
Will Smith,1968-09-25,USA
Jennifer Lawrence,1990-08-15,USA
George Clooney,1961-05-06,USA
Sandra Bullock,1964-07-26,USA
Matthew McConaughey,1969-11-04,USA
Chris Hemsworth,1983-08-11,USA
Tom Cruise,1962-07-03,USA
Julia Roberts,1967-10-28,USA
Robert Downey Jr.,1965-04-04,USA
Chris Evans,1981-06-13,USA
Mark Ruffalo,1967-11-22,USA
Chris Pratt,1979-06-21,USA
Zoe Saldana,1978-06-19,USA
Viola Davis,1965-08-11,USA
Samuel L. Jackson,1948-12-21,USA
Al Pacino,1940-04-25,USA
Keanu Reeves,1964-09-02,USA
Harrison Ford,1942-07-13,USA
Robert Pattinson,1986-05-13,USA
Wagner Moura,1976-06-27,Brazil
Fernanda Montenegro,1929-10-16,Brazil
Rodrigo Santoro,1975-08-22,Brazil
Sônia Braga,1950-06-08,Brazil
Alice Braga,1983-04-15,Brazil
Lázaro Ramos,1978-11-01,Brazil
Mariana Ximenes,1981-04-26,Brazil
Selton Mello,1972-12-30,Brazil
Camila Morgado,1975-04-12,Brazil
Tony Ramos,1948-08-25,Brazil
Cauã Reymond,1980-05-20,Brazil
Adriana Esteves,1969-12-15,Brazil
Deborah Secco,1979-11-26,Brazil
Murilo Benício,1971-07-13,Brazil
Giovanna Antonelli,1976-03-18,Brazil
Cléo Pires,1982-10-02,Brazil
Fábio Assunção,1971-08-10,Brazil
Paolla Oliveira,1982-04-14,Brazil
Taís Araújo,1978-11-25,Brazil
